Institution,Adresse,Lat,Lon,Haltestelle,HaltestelleLat,HaltestelleLon,Entfernung,SUBahn,SUEntfernung,Betreiber,GruppeA,GruppeB
"Deutsches Theater / Kammerspiele","Schumannstraße 13,10117 Berlin",52.5239167,13.3820833,"Deutsches Theater",52523126,13383266,118,"U Oranienburger Tor",385,,"Bühnen und Theater","Große Sprechbühnen"
Volksbühne,"Rosa-Luxemburg-Platz,10178 Berlin",52.52725,13.4123889,"U Rosa-Luxemburg-Platz",52528187,13410404,170,"U Rosa-Luxemburg-Platz",170,,"Bühnen und Theater","Große Sprechbühnen"
"Maxim Gorki Theater","Am Festungsgraben 2,10117 Berlin",52.5190000,13.3956111,"Am Kupfergraben",52519413,13395392,49,,-,,"Bühnen und Theater","Große Sprechbühnen"
"Berliner Ensemble","Bertolt-Brecht-Platz 1,10117 Berlin",52.5220556,13.3864167,"Am Weidendamm",52521912,13388452,138,"S+U Friedrichstr.",204,,"Bühnen und Theater","Große Sprechbühnen"
"Hebbel am Ufer (HAU 1, 2, 3)","Hallesches Ufer 32,10963 Berlin",52.4990556,13.3861944,Willy-Brandt-Haus,5250041,13387437,173,"U Möckernbrücke",198,,"Bühnen und Theater","Große Sprechbühnen"
"Schaubühne am Lehniner Platz","Kurfürstendamm 153,10709 Berlin",52.4986944,13.3028333,"Lehniner Platz/Schaubühne",52498927,13301805,74,"U Adenauerplatz",343,,"Bühnen und Theater","Große Sprechbühnen"
"Renaissance Theater","Knesebeckstraße 100,10623 Berlin",52.5103056,13.3240833,"U Ernst-Reuter-Platz",52511584,13322579,175,"U Ernst-Reuter-Platz",175,"Neue Theater Betriebs-GmbH","Bühnen und Theater","Große Sprechbühnen"
"Theater an der Parkaue","Parkaue 29,10367 Berlin",52.5168056,13.4779722,"Rathaus Lichtenberg",52515907,13479073,124,"S+U Frankfurter Allee",397,,"Bühnen und Theater","Kinder- und Jugendtheater"
"Grips Theater","Altonaer Str. 22,10557 Berlin",52.5184444,13.3424167,"U Hansaplatz",5251811,13342167,40,"U Hansaplatz",40,,"Bühnen und Theater","Kinder- und Jugendtheater"
"Theater Strahl","Martin-Luther-Straße 77,10825 Berlin",52.4883333,13.3451944,Grunewaldstr.,52489084,13345007,84,"U Bayerischer Platz",337,,"Bühnen und Theater","Konzeptgeförderte Theater und Theater-/Tanzgruppen "
"Canstanza Macras","Klosterstraße 44,10179 Berlin",52.5178611,13.4118056,"U Klosterstr.",52517229,13412454,82,"U Klosterstr.",82,"Dorkypark GmbH","Bühnen und Theater","Konzeptgeförderte Theater und Theater-/Tanzgruppen "
"Nico and the Navigators","Husemannstr. 31, 10435 Belrin",52.5397222,13.4175833,Husemannstr.,52540034,1341871,84,"U Eberswalder Str.",380,,"Bühnen und Theater","Konzeptgeförderte Theater und Theater-/Tanzgruppen "
